CODIGO,NOMBRE,EMBALSE,X,Y,DEMARC,CAUCE,GOOGLE,OPENSTREETMAP,WIKIDATA,PROVINCIA,CCAA,TIPO,COTA_CORON,ALT_CIMIEN,INFORME
3280017,"JAROSA, LA",La Jarosa Reservoir,"406,649,699,230,001","-411,756,322,999,997",TAJO,ARROYO DE LA JAROSA,,,https://www.wikidata.org/wiki/Q1329216,Madrid,Comunidad de Madrid,Presa de fábrica de gravedad (hormigón vibrado),1088,54,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=795
3280013,"JAROSA, LA",La Jarosa Reservoir,"406,707,061,490,001","-411,778,914,799,993",TAJO,ARROYO DE FUENTE CORNEJA,,,https://www.wikidata.org/wiki/Q1329216,Madrid,Comunidad de Madrid,Presa de fábrica de gravedad (hormigón vibrado),"108,809,999,999,999","14,1",https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=792
9500038,MALVECINO,MALVECINO,"42,198,660,902","-139,084,274,799,995",EBRO,BARRANCO DE ONZANOVA,,,,Zaragoza,Aragón,Presa de materiales sueltos zonificada o de núcleo,404,26,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2849
2400016,PONTON ALTO,Pontón Alto Reservoir,"409,150,074,830,001","-403,624,107,199,994",DUERO,RÍO ERESMA,https://www.google.com/search?kgmid=/g/120wrl3k,,https://www.wikidata.org/wiki/Q5830615,Segovia,Castilla y León,Presa de fábrica de bóveda,"1104,5",48,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=421
3450045,"CASTRO, EL","CASTRO, EL","398,064,449,990,001","-375,294,972,199,993",TAJO,RÍO ALGODOR,,,,Toledo,Castilla - La Mancha,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=900
5110039,ALMODOVAR,Embalse de Almodóvar,"361,536,149,680,001","-564,973,106,899,993",GUADALETE Y BARBATE,RÍO ALMODÓVAR,,,https://www.wikidata.org/wiki/Q5369429,Cádiz,Andalucía,Presa de fábrica de gravedad (hormigón vibrado),"107,2",40,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1364
9220067,IBON DE IP,Ip reservoir,"427,228,732,190,001","-0,462683542999969",EBRO,BARRANCO DE IP,,,https://www.wikidata.org/wiki/Q23999337,Huesca,Aragón,Presa de materiales sueltos zonificada o de núcleo,2119,31,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2482
5230007,ZOCUECA,ZOCUECA,"38,095,561,881","-383,109,787,299,998",GUADALQUIVIR,RÍO  RUMBLAR,,,,Jaén,Andalucía,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1543
1310009,SAN ANTON,SAN ANTON,"43,277,117,956","-177,374,675,199,997",CANTABRICO ORIENTAL,RIO ENDARA,,,,Navarra,Comunidad Foral de Navarra,Presa de materiales sueltos de pantalla de hormigón,247,"567,999,999,999,999",https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=84
7300021,"CIERVA, LA",Embalse de la Cierva,"380,602,631,900,001","-148,765,333,199,998",SEGURA,RIO MULA,,,https://www.wikidata.org/wiki/Q107738426,Murcia,Región de Murcia,Presa de fábrica de mampostería,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2057
9220061,ESCARRA,Escarra reservoir,"427,450,247,100,001","-0,352936039999975",EBRO,RÍO ESCARRA,,,https://www.wikidata.org/wiki/Q95675526,Huesca,Aragón,Presa de materiales sueltos zonificada o de núcleo,1636,43,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2476
4130017,CASTILSERAS,CASTILSERAS,"38,738,908,709","-480,134,611,699,998",GUADIANA,RIO VALDEAZOGUES,,,,Ciudad Real,Castilla - La Mancha,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1105
10430005,RIUDECANYES,RIUDECANYES,"41,133,459,546","0,958540952000021",CUENCAS INTERNAS DE CATALUÑA,RIERA DE RIUDECANYES,,,,Tarragona,Cataluña,Presa de fábrica de mampostería,"220,5",51,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2918
9310030,URDALUR,URDALUR,"42,916,911,187","-223,343,148,499,993",EBRO,RÍO ALTZANIA,,,,Navarra,Comunidad Foral de Navarra,Presa de fábrica de gravedad (hormigón compactado),652,55,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2742
2470004,SAN JOSE,SAN JOSE,"41,403,921,299","-527,303,186,899,996",DUERO,RÍO DUERO,,,,Valladolid,Castilla y León,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=453
4060008,BOQUERON,BOQUERON,"391,511,076,260,001","-641,827,824,299,997",GUADIANA,REGATO DEL ROSAL,,,,Badajoz,Extremadura,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=937
7300002,JOSE BAUTISTA,JOSE BAUTISTA,"378,754,537,890,001","-131,662,193,299,996",SEGURA,RIO GUADALENTIN O SANGONERA,,,,Murcia,Región de Murcia,Presa de fábrica de gravedad (hormigón vibrado),137,"33,5",https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2038
7300003,JOSE BAUTISTA,JOSE BAUTISTA,"378,776,016,350,001","-132,124,601,899,994",SEGURA,RIO GUADALENTIN O SANGONERA,,,,Murcia,Región de Murcia,Presa de materiales sueltos homogénea,138,9,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2039
1320034,SAN PEDRO,San Pedro reservoir,"424,527,079,760,001","-771,396,403,899,996",MIÑO-SIL,RÍO SIL,https://www.google.com/search?kgmid=/g/11p4cqtf9c,,https://www.wikidata.org/wiki/Q105729417,Lugo,Galicia,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=119
4160004,CAMPOS DEL PARAISO,CAMPOS DEL PARAISO,"39,974,474,851","-273,818,245,399,997",GUADIANA,RIO DE VALDEJUDIOS,,,,Cuenca,Castilla - La Mancha,Presa de materiales sueltos zonificada o de núcleo,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1205
2370033,VILLAGONZALO,Villagonzalo Reservoir,"408,732,344,370,001","-549,557,555,299,998",DUERO,RÍO TORMES,https://www.google.com/search?kgmid=/g/122wtfys,,https://www.wikidata.org/wiki/Q5678462,Salamanca,Castilla y León,Presa de fábrica de gravedad (hormigón vibrado),"805,799,999,999,999","14,5",https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=393
8120004,"REGAJO, EL","REGAJO, EL","398,898,591,060,001","-0,524556912999969",JUCAR,RIU PALANCIA,,,,Castelló/Castellón,Comunitat Valenciana,Presa de fábrica de gravedad (hormigón vibrado),"406,529,999,999,999","2,753",https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2260
4100026,CUBILAR,CUBILAR,"39,237,347,379","-547,071,172,699,998",GUADIANA,RIO CUBILAR,,,,Cáceres,Extremadura,Presa de materiales sueltos homogénea,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1075
5140001,MALPASILLO JAUJA,MALPASILLO JAUJA,"372,991,506,870,001","-467,681,989,599,993",GUADALQUIVIR,RÍO  GENIL,,,,Córdoba,Andalucía,Presa de fábrica de contrafuertes,250,36,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1423
3450004,"PORTIÑA, LA","La Portiña Reservoir, Talavera de la Reina","39,996,548,874","-484,137,628,499,997",TAJO,ARROYO DE LA PORTIÑA,,,https://www.wikidata.org/wiki/Q52673428,Toledo,Castilla - La Mancha,Presa de fábrica de gravedad (hormigón vibrado),"412,5","23,3",https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=861
14360007,CALDAS DE REIS,CALDAS DE REIS,"42,608,002,556","-861,626,161,099,997",GALICIA-COSTA,RÍO UMIA,,,,Pontevedra,Galicia,Presa de fábrica de gravedad (hormigón vibrado),"126,5",34,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=3112
8460012,ALGAR,ALGAR,"39,787,914,266","-0,37682482699995",JUCAR,RIU PALANCIA,,,,València/Valencia,Comunitat Valenciana,Presa mixta,217,49,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2307
2050003,SERONES,SERONES,"406,897,420,190,001","-447,398,559,699,997",DUERO,RÍO VOLTOYA,,,,Ávila,Castilla y León,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=210
5230013,AGUASCEBAS,AGUASCEBAS,"380,435,042,350,001","-295,222,543,699,992",GUADALQUIVIR,ARROYO DE LAS AGUASCEBAS CHICO,,,,Jaén,Andalucía,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1549
8120011,ULLDECONA,Ulldecona Dam,"40,670,915,209","0,233962578000046",JUCAR,RIU DE LA SÉNIA,,,https://www.wikidata.org/wiki/Q202052,Castelló/Castellón,Comunitat Valenciana,Presa de fábrica de gravedad (hormigón vibrado),"479,029,999,999,999","586,599,999,999,999",https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2266
3280050,NAVACERRADA,NAVACERRADA,"407,150,019,000,001","-400,500,334,299,994",TAJO,RÍO NAVACERRADA,,,,Madrid,Comunidad de Madrid,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=827
7300037,VALDEINFIERNO,embalse de Valdeinfierno,"378,054,910,990,001","-196,467,018,699,997",SEGURA,RIO LUCHENA,https://www.google.com/search?kgmid=/g/1228rq7r,https://www.openstreetmap.org/relation/1450307,https://www.wikidata.org/wiki/Q5490023,Murcia,Región de Murcia,Presa de fábrica de arco-gravedad,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2073
9430002,GUIAMETS,GUIAMETS,"41,098,764,213","0,751588232000074",EBRO,RIERA DE LES OLLES,,,,Tarragona,Cataluña,Presa de fábrica de gravedad (hormigón vibrado),178,50,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2768
15200006,IBAI-EDER,IBAI-EDER,"431,287,549,570,001","-222,691,844,199,994",CANTABRICO ORIENTAL,URRESTILLA IBAIA,,,,Gipuzkoa/Guipúzcoa,País Vasco,Presa de materiales sueltos de pantalla de hormigón,"22,675",66,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=3121
8160007,"TOBA, LA",Pantano de La Toba,"402,100,666,220,001","-192,215,366,299,996",JUCAR,RÍO JÚCAR,,,https://www.wikidata.org/wiki/Q23995855,Cuenca,Castilla - La Mancha,Presa de fábrica de mampostería,"115,634,999,999,999",40,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2282
4210060,"MACHOS, LOS","MACHOS, LOS","37,314,011,421","-720,394,871,099,995","TINTO, ODIEL Y PIEDRAS",RÍO PIEDRAS,,,,Huelva,Andalucía,Presa de materiales sueltos de pantalla de hormigón,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1264
5180020,QUENTAR,Embalse de Quéntar,"372,032,970,490,001","-343,802,682,299,997",GUADALQUIVIR,RÍO DE AGUAS BLANCAS,,,https://www.wikidata.org/wiki/Q5369453,Granada,Andalucía,Presa de fábrica de bóveda,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1523
7300041,ALFONSO XIII,ALFONSO XIII,"382,232,084","-159,952,768,299,996",SEGURA,RÍO QUIPAR O RAMBLA MULLIDAR,,,,Murcia,Región de Murcia,Presa de fábrica de mampostería,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2077
2400001,BURGOMILLODO,Burgomillodo Reservoir,"41,337,311,189","-388,541,240,699,993",DUERO,RÍO DURATÓN,https://www.google.com/search?kgmid=/g/121_4pt5,https://www.openstreetmap.org/relation/4116775,https://www.wikidata.org/wiki/Q5830416,Segovia,Castilla y León,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=406
3100074,SALOR,Valdesalor reservoir,"39,363,901,431","-630,464,727,599,997",TAJO,RÍO SALOR,https://www.google.com/search?kgmid=/g/11h70_p1q2,,https://www.wikidata.org/wiki/Q63384116,Cáceres,Extremadura,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=608
3370002,NAVAMUÑO,Navamuño Reservoir,"40,347,880,305","-577,448,415,699,996",TAJO,SIN NOMBRE,https://www.google.com/search?kgmid=/g/122gflb1,,https://www.wikidata.org/wiki/Q5830534,Salamanca,Castilla y León,Presa de materiales sueltos de pantalla de hormigón,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=851
2370014,RIOLOBOS,RIOLOBOS,"41,006,227,376","-530,342,870,499,993",DUERO,ARROYO DE RIOLOBOS O ARROYO DE LA DEHESA,,,,Salamanca,Castilla y León,Presa de materiales sueltos zonificada o de núcleo,"839,5",19,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=374
2370015,RIOLOBOS,RIOLOBOS,"409,949,078,490,001","-528,929,176,699,995",DUERO,REGATO DE VALDEGOLLADO,,,,Salamanca,Castilla y León,Presa de materiales sueltos zonificada o de núcleo,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=375
5110031,ARCOS,Embalse de Arcos,"367,513,393,790,001","-579,558,309,999,993",GUADALETE Y BARBATE,RÍO GUADALETE,,,https://www.wikidata.org/wiki/Q17279790,Cádiz,Andalucía,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1356
5110030,ARCOS,Embalse de Arcos,"367,513,900,490,001","-579,150,857,699,995",GUADALETE Y BARBATE,RÍO GUADALETE,,,https://www.wikidata.org/wiki/Q17279790,Cádiz,Andalucía,Presa de materiales sueltos zonificada o de núcleo,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1355
1240018,"CAMPAÑANA, LA",Campañana Reservoir,"42,498,086,748","-676,967,359,799,994",MIÑO-SIL,ARROYO DE BALÉN,https://www.google.com/search?kgmid=/g/1203m01h4,,https://www.wikidata.org/wiki/Q5830421,León,Castilla y León,Presa de fábrica de gravedad (hormigón vibrado),"52,835",50,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=51
1240016,"CAMPAÑANA, LA",Campañana Reservoir,"4,250,033,776","-675,720,479,699,993",MIÑO-SIL,VERTIENTE POR LA MARGEN DERECHA DEL ARROYO DE LOS ÁLAMOS,https://www.google.com/search?kgmid=/g/1203m01h4,,https://www.wikidata.org/wiki/Q5830421,León,Castilla y León,Presa de materiales sueltos zonificada o de núcleo,"527,799,999,999,999",11,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=49
4060068,NOGALES,Nogales Reservoir,"38,563,891,508","-673,651,674,799,993",GUADIANA,RIVERA DO NOGALES,https://www.google.com/search?kgmid=/g/12dpx021_,,https://www.wikidata.org/wiki/Q16561606,Badajoz,Extremadura,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=993
5230051,ENCINAREJO,ENCINAREJO,"38,164,548,686","-399,287,874,699,996",GUADALQUIVIR,RÍO  JÁNDULA O FRESNEDA O JORGE,,,,Jaén,Andalucía,Presa de fábrica de mampostería,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1586
7300025,"RODEOS, LOS",Embalse de Los Rodeos,"380,434,511,560,001","-129,443,525,699,998",SEGURA,RIO MULA,,,https://www.wikidata.org/wiki/Q107738433,Murcia,Región de Murcia,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2061
4100025,CANCHO DEL FRESNO,CANCHO DEL FRESNO,"393,931,095,610,001","-539,044,150,299,998",GUADIANA,RIO RUECAS,,,,Cáceres,Extremadura,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1074
3280063,PICADAS,Picadas Reservoir,"403,333,175,330,001","-424,917,123,099,993",TAJO,RÍO ALBERCHE,https://www.google.com/search?kgmid=/g/121vl666,,https://www.wikidata.org/wiki/Q5830546,Madrid,Comunidad de Madrid,Presa de fábrica de gravedad (hormigón vibrado),"519,5","58,5",https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=840
9220071,VADIELLO,VADIELLO,"422,412,072,050,001","-0,278563394999935",EBRO,RÍO GUATIZALEMA,,,,Huesca,Aragón,Presa de fábrica de gravedad (hormigón vibrado),"748,5","76,5",https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2486
8030027,AMADORIO,AMADORIO,"385,337,220,420,001","-0,264786822999952",JUCAR,RIU AMADORIO,,,,Alacant/Alicante,Comunitat Valenciana,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2183
9250049,CAVALLERS,CAVALLERS,"4,258,555,584","0,854115437000075",EBRO,LA NOGUERA DE TOR,,,,Lleida,Cataluña,Presa de fábrica de contrafuertes,"1783,5",70,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2593
4060031,PIEDRA AGUDA,PIEDRA AGUDA,"3,868,712,586","-702,207,805,699,993",GUADIANA,RIO OLIVENZA,,,,Badajoz,Extremadura,Presa de fábrica de gravedad (hormigón vibrado),,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=958
9220059,LLAUSET,LLAUSET,"425,809,309,520,001","0,694450386000028",EBRO,RÍO LLAUSET,,,,Huesca,Aragón,Presa de fábrica de bóveda,2192,89,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2474
1320037,VELLE,VELLE,"42,357,859,342","-785,142,526,699,997",MIÑO-SIL,RÍO MIÑO,,,,Ourense,Galicia,Presa de fábrica de gravedad (hormigón vibrado),"110,4",27,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=122
9220091,RESPOMUSO,Respomuso Reservoir,"428,156,272,250,001","-0,297330793999947",EBRO,RÍO AGUAS LIMPIAS,https://www.google.com/search?kgmid=/g/121n92_p,,https://www.wikidata.org/wiki/Q3427764,Huesca,Aragón,Presa de fábrica de contrafuertes,2123,77,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2505
9440011,PENA,PENA,"408,194,375,680,001","0,134230182000067",EBRO,RÍO PENA,,,,Teruel,Aragón,Presa de fábrica de gravedad (hormigón vibrado),"619,029,999,999,999","46,5",https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=2804
4210081,CORUMBEL BAJO,CORUMBEL BAJO,"37,449,084,574","-657,274,195,299,993","TINTO, ODIEL Y PIEDRAS",RÍO CORUMBEL,,,,Huelva,Andalucía,Presa de materiales sueltos de pantalla de hormigón,,,https://sig.mapama.gob.es/WebServices/clientews/snczi/Default.aspx?nombre=EGISPE_PRESA&claves=ID_INFRAESTRUCTURA&valores=1285
